date,sales,units_sold,marketing_spend,customer_count
2023-01-01,5149.01,104,534.89,58
2023-01-02,5545.7,106,623.81,66
2023-01-03,6067.02,123,501.88,62
2023-01-04,6233.85,116,556.65,70
2023-01-05,5426.99,114,759.26,63
2023-01-06,5284.64,108,1460.97,75
2023-01-07,6023.04,122,520.89,78
2023-01-08,6234.97,130,602.66,80
2023-01-09,6284.53,134,821.96,87
2023-01-10,6679.58,139,545.64,82
2023-01-11,6068.83,112,661.97,80
2023-01-12,5565.46,105,764.15,69
2023-01-13,5412.39,105,691.41,70
2023-01-14,4746.87,95,541.66,54
2023-01-15,5064.48,104,587.82,39
2023-01-16,5666.99,110,806.3,69
2023-01-17,5491.07,111,661.59,83
2023-01-18,5488.51,106,501.05,78
2023-01-19,4571.88,88,786.25,67
2023-01-20,4054.42,74,507.19,63
2023-01-21,4944.55,94,773.87,63
2023-01-22,4788.36,89,545.25,62
2023-01-23,5260.68,100,1134.37,60
2023-01-24,4937.57,104,591.75,59
2023-01-25,4993.78,95,579.18,69
2023-01-26,4852.19,110,532.24,73
2023-01-27,4328.88,89,572.94,53
2023-01-28,5035.02,102,918.55,58
2023-01-29,5304.97,102,1621.75,66
2023-01-30,5974.52,123,591.87,81
2023-01-31,6171.07,121,619.06,63
2023-02-01,6829.53,137,756.08,62
2023-02-02,6021.21,133,934.66,70
2023-02-03,5608.26,112,679.81,58
2023-02-04,6418.93,134,599.36,75
2023-02-05,6320.65,123,606.42,78
2023-02-06,7233.77,145,737.89,86
2023-02-07,6739.53,144,500.64,99
2023-02-08,6683.2,131,693.3,87
2023-02-09,6696.53,143,587.85,87
2023-02-10,6544.65,134,816.17,88
2023-02-11,6396.68,125,519.52,69
2023-02-12,6600.83,135,677.44,93
2023-02-13,6814.59,141,631.16,84
2023-02-14,6421.89,132,705.63,87
2023-02-15,6235.36,117,513.41,67
2023-02-16,5735.32,111,673.49,56
2023-02-17,5783.17,114,664.87,80
2023-02-18,5542.6,110,664.5,73
2023-02-19,5198.68,107,685.01,56
2023-02-20,6138.54,124,725.69,68
2023-02-21,5975.09,113,826.94,86
2023-02-22,5602.68,114,562.89,58
2023-02-23,5575.47,115,848.65,86
2023-02-24,5485.25,113,637.93,60
2023-02-25,5639.29,118,516.04,77
2023-02-26,5616.39,116,512.07,67
2023-02-27,6309.25,128,581.36,85
2023-02-28,6761.06,135,807.33,79
2023-03-01,6860.8,129,745.98,84
2023-03-02,6174.37,126,810.81,78
2023-03-03,6175.38,125,645.66,67
2023-03-04,6171.55,125,616.03,85
2023-03-05,6696.73,128,531.91,79
2023-03-06,7830.54,151,579.56,96
2023-03-07,8204.09,169,613.84,93
2023-03-08,7588.31,152,518.55,69
2023-03-09,7526.65,154,549.85,92
2023-03-10,7077.94,142,682.37,113
2023-03-11,6851.66,137,766.11,93
2023-03-12,7490.06,154,1781.09,93
2023-03-13,8148.81,160,1040.95,99
2023-03-14,7661.64,154,705.76,96
2023-03-15,7738.72,152,609.38,102
2023-03-16,5902.34,116,702.22,62
2023-03-17,6509.44,129,808.03,93
2023-03-18,6230.24,126,525.19,85
2023-03-19,6356.88,125,605.49,87
2023-03-20,6730.35,141,866.27,89
2023-03-21,6088.55,117,596.85,76
2023-03-22,6259.4,124,669.67,85
2023-03-23,5939.39,117,677.23,80
2023-03-24,5978.76,127,540.78,71
2023-03-25,5484.45,111,589.96,63
2023-03-26,5830.62,122,581.45,74
2023-03-27,6388.69,120,505.31,95
2023-03-28,7015.36,142,504.9,75
2023-03-29,6699.35,138,856.4,69
2023-03-30,6158.53,124,563.79,79
2023-03-31,6365.32,133,645.99,80
2023-04-01,6508.23,128,570.97,83
2023-04-02,7331.39,154,1064.96,94
2023-04-03,7384.16,159,560.03,90
2023-04-04,7741.43,153,612.3,112
2023-04-05,7578.98,149,912.29,79
2023-04-06,6924.65,146,868.95,78
2023-04-07,7252.27,153,541.18,90
2023-04-08,7374.85,145,824.55,76
2023-04-09,7690.33,152,622.57,94
2023-04-10,7975.46,158,631.93,116
2023-04-11,12650.21,246,528.65,158
2023-04-12,7579.82,147,516.81,97
2023-04-13,7044.61,136,760.35,75
2023-04-14,6490.53,126,637.22,75
2023-04-15,6619.03,132,614.84,79
2023-04-16,7011.49,141,761.5,84
